1725	11849	942192000
1725	3917	942192000
1725	17144	942192000
4761	21889	942278400
6971	4133	942883200
6307	16113	943488000
6307	19310	943488000
6307	19658	943488000
6307	7163	943488000
6307	2579	943488000
6307	2406	943488000
6307	16874	943574400
5899	8780	943660800
1599	1017	943920000
6307	14967	944265600
1725	6473	944265600
6307	4714	944352000
6307	15405	944352000
3885	12607	944438400
6307	3109	944524800
1681	6627	944784000
7280	7205	944956800
1681	19310	945216000
8630	14967	946339200
6791	7969	946339200
7613	16082	946598400
7469	19658	946771200
8630	11618	946857600
2612	19861	947030400
2681	4503	947203200
4761	22513	947376000
4761	19693	947376000
7252	6264	947462400
2681	1864	948326400
2681	3677	948412800
2681	11148	948499200
2681	3109	948672000
7613	19658	948758400
6307	7463	948844800
2612	13817	948931200
7469	12607	949017600
2025	389	949276800
5646	17780	949276800
2802	10937	949536000
1463	2437	949708800
7613	8964	949708800
930	848	949708800
2612	15224	949708800
1463	2999	949795200
6971	15615	949881600
1463	18856	950054400
7252	3393	950054400
4761	4942	950054400
7252	21197	950054400
2612	6884	950140800
1456	19872	950227200
7469	16823	950486400
2802	2257	950572800
7469	9082	950572800
8478	11130	950745600
7613	6047	950918400
1463	4352	951004800
1463	13817	951004800
2802	16056	951004800
8019	9082	951350400
2802	19872	951436800
1463	862	951696000
7427	11618	952128000
3437	6592	952646400
3885	20598	952732800
101	19658	952819200
3114	1982	952992000
7427	8947	953510400
3437	17051	953596800
3885	14807	953683200
7613	17051	953769600
6277	847	954115200
5161	10289	954201600
101	20598	954460800
2802	16445	954547200
8019	9602	954547200
2802	14391	954633600
101	21968	954633600
5635	2406	954892800
101	12607	954892800
5635	20324	954892800
5635	9423	954892800
2802	6592	955065600
5037	7163	955497600
3885	16954	955756800
7613	3677	956016000
3885	11226	956102400
930	18262	956620800
5037	16113	956620800
930	10105	956620800
5037	15324	956620800
7469	7746	956707200
5037	5106	956793600
2681	2579	956880000
5037	12897	956880000
1463	12634	957139200
2612	6285	957312000
2612	2579	957312000
2612	13742	957312000
1671	19973	957312000
2612	10	957312000
2807	1656	957398400
2807	14052	957398400
2807	9423	957484800
2807	1017	957484800
2807	7055	957484800
2807	17107	957484800
2807	17671	957484800
5037	7746	957916800
2681	103	958003200
8988	7163	958089600
8988	7746	958089600
8988	7607	958176000
8988	15615	958176000
8591	1017	958176000
8988	17780	958176000
8591	274	958262400
8591	4507	958262400
8591	10937	958262400
8591	16823	958262400
8988	1982	958521600
6632	6133	958608000
8591	8862	958694400
8591	5032	958694400
8834	17344	958867200
5037	7463	958953600
5037	10814	958953600
8591	21344	959040000
8591	13054	959040000
7469	14967	959126400
8591	1173	959126400
2807	16874	959126400
8591	3109	959126400
2612	4535	959212800
2802	7746	959299200
7469	7969	959299200
1725	16840	959299200
8988	7173	959385600
8988	11148	959385600
8834	21391	959472000
101	12279	959558400
5581	7463	959644800
101	3872	959644800
101	5681	959644800
8019	4503	959644800
8988	18704	959817600
8988	20584	959817600
7280	2999	959817600
8988	8780	959817600
5581	7163	959817600
8019	17340	959904000
5037	11148	960076800
5581	5517	960163200
7551	16823	960163200
5581	12175	960163200
5353	5124	960249600
3195	569	960249600
5705	3746	960249600
8591	18262	960508800
8591	18618	960508800
8591	17394	960508800
8591	15515	960508800
1599	17720	960681600
5581	6592	960768000
2807	6133	960854400
7633	7463	960940800
7427	17677	961027200
6791	20957	961286400
6791	17780	961286400
7633	16508	961632000
101	17677	961632000
3195	6283	961632000
8019	10869	961718400
6791	15515	961977600
6791	15768	961977600
6791	11618	961977600
306	15227	962150400
306	353	962150400
306	5969	962150400
1981	15515	962150400
1463	21764	962236800
2391	1045	962582400
2391	8326	962582400
2807	17780	962582400
